id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
NKBI261,NKBI,2020-09-17 00:00:00,2020.7131148,261,-1004107.40687,6237146.54967,874718.73656,47,516034.1346,877174.7494,7.935542076843,99.145478476992,-8.8849,12.4284
NKBI262,NKBI,2020-09-18 00:00:00,2020.7158470,262,-1004107.40823,6237146.53973,874718.73412,47,516034.1376,877174.7484,7.935542066924,99.145478503452,-8.8948,12.4186
NKBI263,NKBI,2020-09-19 00:00:00,2020.7185792,263,-1004107.40916,6237146.54399,874718.73311,47,516034.1378,877174.7468,7.935542052476,99.145478505687,-8.8906,12.4228
NKBI264,NKBI,2020-09-20 00:00:00,2020.7213115,264,-1004107.40656,6237146.54300,874718.73095,47,516034.1354,877174.7448,7.935542034899,99.145478483842,-8.8923,12.4211
NKBI265,NKBI,2020-09-21 00:00:00,2020.7240437,265,-1004107.40728,6237146.54002,874718.73311,47,516034.1366,877174.7473,7.935542057719,99.145478494589,-8.8948,12.4186
NKBI266,NKBI,2020-09-22 00:00:00,2020.7267760,266,-1004107.40605,6237146.54082,874718.73153,47,516034.1352,877174.7457,7.935542042814,99.145478482338,-8.8944,12.4190
NKBI267,NKBI,2020-09-23 00:00:00,2020.7295082,267,-1004107.40959,6237146.54870,874718.73566,47,516034.1375,877174.7486,7.935542069424,99.145478502729,-8.8856,12.4278
NKBI268,NKBI,2020-09-24 00:00:00,2020.7322404,268,-1004107.40751,6237146.54345,874718.73145,47,516034.1363,877174.7452,7.935542038571,99.145478491712,-8.8916,12.4218
NKBI269,NKBI,2020-09-25 00:00:00,2020.7349727,269,-1004107.40997,6237146.54999,874718.73674,47,516034.1376,877174.7495,7.935542077368,99.145478504238,-8.8841,12.4293
NKBI270,NKBI,2020-09-26 00:00:00,2020.7377049,270,-1004107.40983,6237146.54536,874718.73660,47,516034.1383,877174.7500,7.935542081939,99.145478509692,-8.8887,12.4247
NKBI271,NKBI,2020-09-27 00:00:00,2020.7404372,271,-1004107.40795,6237146.53284,874718.73460,47,516034.1384,877174.7498,7.935542079776,99.145478510904,-8.9015,12.4119
NKBI272,NKBI,2020-09-28 00:00:00,2020.7431694,272,-1004107.40640,6237146.53682,874718.73549,47,516034.1362,877174.7501,7.935542083112,99.145478491310,-8.8977,12.4157
NKBI273,NKBI,2020-09-29 00:00:00,2020.7459016,273,-1004107.41047,6237146.53737,874718.73370,47,516034.1401,877174.7482,7.935542065607,99.145478526900,-8.8968,12.4166
NKBI274,NKBI,2020-09-30 00:00:00,2020.7486339,274,-1004107.40881,6237146.55033,874718.73833,47,516034.1365,877174.7511,7.935542091494,99.145478493407,-8.8837,12.4296
NKBI276,NKBI,2020-10-02 00:00:00,2020.7540984,276,-1004107.40944,6237146.55042,874718.73664,47,516034.1371,877174.7494,7.935542076129,99.145478498948,-8.8838,12.4296
NKBI277,NKBI,2020-10-03 00:00:00,2020.7568306,277,-1004107.40689,6237146.54021,874718.73270,47,516034.1362,877174.7469,7.935542053867,99.145478490811,-8.8947,12.4187
NKBI278,NKBI,2020-10-04 00:00:00,2020.7595628,278,-1004107.40540,6237146.54002,874718.73300,47,516034.1347,877174.7473,7.935542057152,99.145478477694,-8.8951,12.4183
NKBI280,NKBI,2020-10-06 00:00:00,2020.7650273,280,-1004107.40937,6237146.54005,874718.73578,47,516034.1386,877174.7499,7.935542081172,99.145478513183,-8.8940,12.4193
NKBI281,NKBI,2020-10-07 00:00:00,2020.7677596,281,-1004107.40841,6237146.54322,874718.73518,47,516034.1372,877174.7489,7.935542072069,99.145478500033,-8.8912,12.4222
NKBI282,NKBI,2020-10-08 00:00:00,2020.7704918,282,-1004107.40936,6237146.55961,874718.74251,47,516034.1355,877174.7539,7.935542117368,99.145478484951,-8.8740,12.4394
NKBI283,NKBI,2020-10-09 00:00:00,2020.7732240,283,-1004107.40755,6237146.54025,874718.73437,47,516034.1368,877174.7485,7.935542068656,99.145478496649,-8.8943,12.4190
NKBI284,NKBI,2020-10-10 00:00:00,2020.7759563,284,-1004107.40923,6237146.54196,874718.73587,47,516034.1382,877174.7498,7.935542079626,99.145478509240,-8.8922,12.4212
NKBI285,NKBI,2020-10-11 00:00:00,2020.7786885,285,-1004107.40589,6237146.53416,874718.73389,47,516034.1361,877174.7489,7.935542072236,99.145478490546,-8.9006,12.4127
NKBI286,NKBI,2020-10-12 00:00:00,2020.7814208,286,-1004107.40947,6237146.54491,874718.73730,47,516034.1380,877174.7508,7.935542088799,99.145478507081,-8.8891,12.4243
NKBI287,NKBI,2020-10-13 00:00:00,2020.7841530,287,-1004107.41293,6237146.56009,874718.73219,47,516034.1390,877174.7436,7.935542023668,99.145478516232,-8.8744,12.4390
NKBI288,NKBI,2020-10-14 00:00:00,2020.7868852,288,-1004107.40984,6237146.54257,874718.73568,47,516034.1387,877174.7495,7.935542077126,99.145478513754,-8.8915,12.4218
NKBI289,NKBI,2020-10-15 00:00:00,2020.7896175,289,-1004107.40550,6237146.53527,874718.73002,47,516034.1356,877174.7450,7.935542036266,99.145478485502,-8.9001,12.4132
NKBI290,NKBI,2020-10-16 00:00:00,2020.7923497,290,-1004107.40414,6237146.52683,874718.72893,47,516034.1356,877174.7451,7.935542037195,99.145478485440,-8.9087,12.4046
NKBI291,NKBI,2020-10-17 00:00:00,2020.7950820,291,-1004107.41012,6237146.53451,874718.73548,47,516034.1403,877174.7504,7.935542085186,99.145478527923,-8.8994,12.4140
NKBI292,NKBI,2020-10-18 00:00:00,2020.7978142,292,-1004107.40461,6237146.53429,874718.73247,47,516034.1349,877174.7475,7.935542059614,99.145478478862,-8.9009,12.4125
NKBI293,NKBI,2020-10-19 00:00:00,2020.8005464,293,-1004107.40976,6237146.53770,874718.73367,47,516034.1394,877174.7482,7.935542065129,99.145478520100,-8.8966,12.4168
NKBI294,NKBI,2020-10-20 00:00:00,2020.8032787,294,-1004107.40984,6237146.53296,874718.73208,47,516034.1402,877174.7472,7.935542056695,99.145478527643,-8.9014,12.4119
NKBI295,NKBI,2020-10-21 00:00:00,2020.8060109,295,-1004107.40719,6237146.53764,874718.73307,47,516034.1369,877174.7476,7.935542060358,99.145478497187,-8.8971,12.4162
NKBI296,NKBI,2020-10-22 00:00:00,2020.8087432,296,-1004107.41165,6237146.54086,874718.73414,47,516034.1408,877174.7481,7.935542065044,99.145478532507,-8.8931,12.4202
NKBI297,NKBI,2020-10-23 00:00:00,2020.8114754,297,-1004107.40949,6237146.54000,874718.73965,47,516034.1388,877174.7538,7.935542115915,99.145478514375,-8.8935,12.4198
NKBI298,NKBI,2020-10-24 00:00:00,2020.8142077,298,-1004107.41207,6237146.54233,874718.73613,47,516034.1409,877174.7499,7.935542080957,99.145478534102,-8.8913,12.4220
NKBI299,NKBI,2020-10-25 00:00:00,2020.8169399,299,-1004107.41143,6237146.54213,874718.73531,47,516034.1403,877174.7491,7.935542074026,99.145478528681,-8.8917,12.4216
NKBI300,NKBI,2020-10-26 00:00:00,2020.8196721,300,-1004107.40806,6237146.52608,874718.73347,47,516034.1396,877174.7496,7.935542077941,99.145478521646,-8.9082,12.4051
NKBI301,NKBI,2020-10-27 00:00:00,2020.8224044,301,-1004107.40992,6237146.53938,874718.73601,47,516034.1393,877174.7502,7.935542083929,99.145478519075,-8.8946,12.4188
NKBI302,NKBI,2020-10-28 00:00:00,2020.8251366,302,-1004107.40852,6237146.53767,874718.73490,47,516034.1382,877174.7494,7.935542076386,99.145478509075,-8.8966,12.4167
NKBI303,NKBI,2020-10-29 00:00:00,2020.8278689,303,-1004107.40615,6237146.53203,874718.73413,47,516034.1367,877174.7495,7.935542076943,99.145478495918,-8.9026,12.4107
NKBI304,NKBI,2020-10-30 00:00:00,2020.8306011,304,-1004107.41039,6237146.53489,874718.73595,47,516034.1405,877174.7508,7.935542088914,99.145478529779,-8.8989,12.4145
NKBI305,NKBI,2020-10-31 00:00:00,2020.8333333,305,-1004107.41223,6237146.53667,874718.73463,47,516034.1420,877174.7492,7.935542074447,99.145478543742,-8.8971,12.4163
NKBI306,NKBI,2020-11-01 00:00:00,2020.8360656,306,-1004107.40905,6237146.53605,874718.73952,47,516034.1390,877174.7542,7.935542119718,99.145478516086,-8.8975,12.4159
NKBI307,NKBI,2020-11-02 00:00:00,2020.8387978,307,-1004107.40670,6237146.51956,874718.73722,47,516034.1393,877174.7542,7.935542119900,99.145478518866,-8.9143,12.3991
NKBI308,NKBI,2020-11-03 00:00:00,2020.8415301,308,-1004107.40990,6237146.53544,874718.73639,47,516034.1399,877174.7512,7.935542092234,99.145478524599,-8.8984,12.4150
NKBI309,NKBI,2020-11-04 00:00:00,2020.8442623,309,-1004107.41485,6237146.53748,874718.73983,47,516034.1445,877174.7542,7.935542119555,99.145478566003,-8.8951,12.4182
NKBI310,NKBI,2020-11-05 00:00:00,2020.8469945,310,-1004107.41179,6237146.53167,874718.73604,47,516034.1424,877174.7513,7.935542093380,99.145478547021,-8.9018,12.4115
NKBI311,NKBI,2020-11-06 00:00:00,2020.8497268,311,-1004107.41091,6237146.53219,874718.73422,47,516034.1414,877174.7494,7.935542076623,99.145478538308,-8.9017,12.4117
NKBI312,NKBI,2020-11-07 00:00:00,2020.8524590,312,-1004107.41238,6237146.52709,874718.73740,47,516034.1437,877174.7532,7.935542111025,99.145478558836,-8.9060,12.4073
NKBI313,NKBI,2020-11-08 00:00:00,2020.8551913,313,-1004107.41489,6237146.55139,874718.73666,47,516034.1423,877174.7491,7.935542073969,99.145478546292,-8.8820,12.4314
NKBI314,NKBI,2020-11-09 00:00:00,2020.8579235,314,-1004107.41124,6237146.52686,874718.73611,47,516034.1426,877174.7520,7.935542100056,99.145478548965,-8.9066,12.4068
NKBI315,NKBI,2020-11-10 00:00:00,2020.8606557,315,-1004107.41392,6237146.54243,874718.73407,47,516034.1428,877174.7478,7.935542062045,99.145478550552,-8.8912,12.4221
NKBI316,NKBI,2020-11-11 00:00:00,2020.8633880,316,-1004107.41054,6237146.53656,874718.73469,47,516034.1403,877174.7493,7.935542075539,99.145478528690,-8.8974,12.4159
NKBI317,NKBI,2020-11-12 00:00:00,2020.8661202,317,-1004107.41331,6237146.52549,874718.73316,47,516034.1448,877174.7492,7.935542074846,99.145478569495,-8.9080,12.4053
NKBI319,NKBI,2020-11-14 00:00:00,2020.8715847,319,-1004107.41036,6237146.53500,874718.73518,47,516034.1404,877174.7500,7.935542081840,99.145478529364,-8.8989,12.4144
NKBI320,NKBI,2020-11-15 00:00:00,2020.8743169,320,-1004107.40800,6237146.52978,874718.73584,47,516034.1389,877174.7514,7.935542094623,99.145478515717,-8.9043,12.4091
NKBI321,NKBI,2020-11-16 00:00:00,2020.8770492,321,-1004107.40847,6237146.51742,874718.73335,47,516034.1413,877174.7506,7.935542087468,99.145478537763,-8.9166,12.3967
NKBI323,NKBI,2020-11-18 00:00:00,2020.8825137,323,-1004107.41140,6237146.53650,874718.73709,47,516034.1412,877174.7517,7.935542096913,99.145478536490,-8.8970,12.4163
NKBI324,NKBI,2020-11-19 00:00:00,2020.8852459,324,-1004107.41456,6237146.54423,874718.73808,47,516034.1431,877174.7515,7.935542095566,99.145478553690,-8.8888,12.4245
NKBI325,NKBI,2020-11-20 00:00:00,2020.8879781,325,-1004107.41666,6237146.54511,874718.73865,47,516034.1450,877174.7519,7.935542099228,99.145478571177,-8.8875,12.4258
NKBI326,NKBI,2020-11-21 00:00:00,2020.8907104,326,-1004107.41557,6237146.53720,874718.73633,47,516034.1452,877174.7507,7.935542088395,99.145478572861,-8.8958,12.4176
NKBI327,NKBI,2020-11-22 00:00:00,2020.8934426,327,-1004107.40850,6237146.53263,874718.73474,47,516034.1390,877174.7499,7.935542081156,99.145478516124,-8.9016,12.4118
NKBI328,NKBI,2020-11-23 00:00:00,2020.8961749,328,-1004107.41343,6237146.53846,874718.73317,47,516034.1429,877174.7475,7.935542058985,99.145478551845,-8.8953,12.4180
NKBI329,NKBI,2020-11-24 00:00:00,2020.8989071,329,-1004107.40934,6237146.52302,874718.73638,47,516034.1413,877174.7528,7.935542107558,99.145478537493,-8.9106,12.4027
NKBI330,NKBI,2020-11-25 00:00:00,2020.9016393,330,-1004107.41715,6237146.53519,874718.73176,47,516034.1471,877174.7464,7.935542049673,99.145478589935,-8.8981,12.4152
NKBI331,NKBI,2020-11-26 00:00:00,2020.9043716,331,-1004107.41225,6237146.53109,874718.73542,47,516034.1429,877174.7507,7.935542088400,99.145478551924,-8.9024,12.4110
NKBI332,NKBI,2020-11-27 00:00:00,2020.9071038,332,-1004107.41185,6237146.54616,874718.73097,47,516034.1401,877174.7443,7.935542030112,99.145478526589,-8.8883,12.4250
NKBI333,NKBI,2020-11-28 00:00:00,2020.9098361,333,-1004107.41301,6237146.54380,874718.73538,47,516034.1416,877174.7489,7.935542072248,99.145478540387,-8.8899,12.4235
NKBI334,NKBI,2020-11-29 00:00:00,2020.9125683,334,-1004107.40698,6237146.54506,874718.73556,47,516034.1355,877174.7491,7.935542073543,99.145478484574,-8.8896,12.4238
NKBI335,NKBI,2020-11-30 00:00:00,2020.9153005,335,-1004107.40868,6237146.54284,874718.73691,47,516034.1375,877174.7507,7.935542088013,99.145478503025,-8.8913,12.4221
NKBI336,NKBI,2020-12-01 00:00:00,2020.9180328,336,-1004107.40987,6237146.53392,874718.73069,47,516034.1401,877174.7457,7.935542043032,99.145478526510,-8.9007,12.4127
NKBI337,NKBI,2020-12-02 00:00:00,2020.9207650,337,-1004107.40866,6237146.54161,874718.73596,47,516034.1377,877174.7499,7.935542081013,99.145478504665,-8.8926,12.4208
NKBI338,NKBI,2020-12-03 00:00:00,2020.9234973,338,-1004107.41380,6237146.54827,874718.73760,47,516034.1417,877174.7505,7.935542086456,99.145478541043,-8.8850,12.4283
NKBI339,NKBI,2020-12-04 00:00:00,2020.9262295,339,-1004107.41459,6237146.52256,874718.73162,47,516034.1466,877174.7481,7.935542064437,99.145478585192,-8.9109,12.4025
NKBI341,NKBI,2020-12-06 00:00:00,2020.9316940,341,-1004107.41573,6237146.53681,874718.73483,47,516034.1454,877174.7493,7.935542075427,99.145478574821,-8.8963,12.4170
NKBI366,NKBI,2020-12-31 00:00:00,2021.0000000,366,-1004107.41331,6237146.53784,874718.73510,47,516034.1429,877174.7495,7.935542077049,99.145478551664,-8.8957,12.4177
